id,x,y,deg
027_2,s4.016678,s2.95097,s-67.07257
027_3,s3.527375,s1.784275,s213.558715
027_4,s3.963879,s1.903033,s-31.345006
027_5,s4.315651,s1.654123,s153.637825
027_6,s5.010983,s2.072789,s103.693009
027_7,s4.801985,s1.253167,s113.726476
027_8,s5.872569,s4.013565,s127.74048
027_9,s5.206036,s1.483986,s69.011221
027_10,s5.341629,s1.262067,s-113.357044
027_11,s5.882735,s2.024478,s125.974593
027_12,s2.938299,s3.13193,s278.405609
027_13,s4.029259,s3.429159,s25.562144
027_14,s3.246255,s2.185896,s393.17475
027_15,s4.600473,s2.830024,s-186.385927
027_16,s3.887798,s2.576998,s141.583905
027_17,s5.289187,s3.253786,s47.121391
027_18,s4.457124,s3.650109,s227.290717
027_19,s4.35358,s3.955729,s65.333611
027_20,s5.227588,s3.940671,s65.46422
027_21,s5.443745,s2.215255,s57.163572
027_22,s5.740088,s3.481303,s197.098711
027_23,s5.712792,s2.548474,s14.685981
027_24,s3.056264,s4.063371,s-203.990645
027_25,s3.361884,s3.508875,s338.856756
027_26,s3.368296,s2.696866,s-40.461629
028_0,s2.781311,s1.025976,s22.358883
028_1,s3.190841,s1.210066,s245.048792
028_2,s2.905827,s1.596904,s-82.733324
028_3,s3.146492,s1.979728,s-35.982099
028_4,s3.808661,s1.690691,s-32.569081
028_5,s4.058732,s1.207481,s65.522196
028_6,s4.807187,s1.611533,s57.451351
028_7,s4.655769,s1.19538,s118.662413
028_8,s4.943748,s1.19164,s-48.147331
028_9,s5.039114,s2.006679,s250.920259
028_10,s5.511861,s1.035656,s-23.631082
028_11,s5.488687,s2.537063,s202.411456
028_12,s2.656473,s2.330145,s285.417339
028_13,s3.397038,s3.064552,s-5.450462
028_14,s3.903315,s2.538496,s142.69232
028_15,s3.966996,s3.4385,s-196.49432
028_16,s4.674821,s2.13144,s369.423678
028_17,s4.160386,s2.612448,s-40.024722
028_18,s4.957758,s2.921302,s188.585367
028_19,s4.754217,s3.246394,s8.46301
028_20,s4.277137,s3.988897,s188.333464
028_21,s5.503383,s3.458678,s-22.759978
028_22,s5.537469,s2.876638,s34.197564
028_23,s5.233516,s3.877619,s67.421583
028_24,s2.658598,s3.252202,s-51.921422
028_25,s2.855839,s2.902419,s251.831181
028_26,s2.652138,s3.850426,s-87.364624
028_27,s3.851063,s3.83614,s63.438149
029_0,s2.761768,s2.020512,s23.453328
029_1,s2.650429,s1.406479,s234.406058
029_2,s3.311314,s2.051719,s12.088977
029_3,s3.140243,s1.7941,s189.897717
029_4,s3.706488,s1.880011,s-26.210349
029_5,s3.737847,s1.60533,s146.908874
029_6,s3.98238,s1.147004,s-33.816761
029_7,s4.727737,s3.422273,s195.903148
029_8,s5.22895,s2.412582,s15.7412
029_9,s5.018921,s1.583314,s216.140784
029_10,s5.443231,s1.991947,s-31.200684
029_11,s5.584125,s1.675914,s203.553973
029_12,s2.76464,s2.91887,s201.282588
029_13,s2.812797,s3.582115,s24.591037
029_14,s3.65961,s3.288433,s361.638981
029_15,s3.993979,s2.73098,s61.88491
029_16,s4.577761,s1.694453,s-42.651386
029_17,s5.170568,s3.700061,s39.234129
029_18,s4.505506,s1.281448,s245.727495
029_19,s4.584804,s2.555791,s14.876196
029_20,s4.35466,s3.622239,s144.068045
029_21,s5.691501,s2.845395,s62.012034
029_22,s5.682164,s3.482792,s107.121732
029_23,s5.649668,s4.072087,s66.423583
029_24,s3.116765,s4.169426,s-155.16732
029_25,s3.287035,s3.198258,s83.772472
029_26,s3.902579,s4.188438,s-178.495948
029_27,s4.192165,s2.183353,s273.761691
029_28,s4.376295,s4.172387,s220.755747
030_0,s2.679041,s1.156102,s-29.213229
030_1,s3.371515,s1.639752,s151.071165
030_2,s3.769687,s2.595166,s29.507846
030_3,s3.649185,s1.265783,s247.47571
030_4,s3.403409,s2.167692,s-139.681415
030_5,s4.213697,s1.794359,s190.770806
030_6,s4.786024,s1.553151,s8.654664
030_7,s5.231392,s1.967044,s49.939153
030_8,s5.089941,s2.569254,s19.313678
030_9,s5.122689,s1.259654,s113.012333
030_10,s5.664046,s1.236031,s49.189517
030_11,s5.563883,s2.46119,s200.920702
030_12,s2.585167,s1.853919,s290.30918
030_13,s2.957373,s2.364194,s-39.676114
030_14,s2.947253,s3.260389,s-20.194498
030_15,s3.871604,s2.241783,s-108.362894
030_16,s4.537925,s3.33371,s198.828313
030_17,s4.134095,s3.621508,s167.627324
030_18,s4.441229,s2.466161,s379.188123
030_19,s4.691698,s3.662444,s-8.724228
030_20,s5.095563,s4.135438,s293.045983
030_21,s5.568869,s3.707059,s-22.282923
030_22,s5.312591,s3.275747,s20.815589
030_23,s5.509013,s2.86432,s-26.775829
030_24,s2.703343,s3.862714,s156.617856
030_25,s2.580274,s2.874187,s275.038456
030_26,s3.125905,s4.136,s66.933198
030_27,s3.461742,s4.188691,s227.903543
030_28,s4.132801,s3.999654,s-55.332609
030_29,s3.463585,s3.586812,s214.224681
031_0,s2.680301,s1.727839,s23.470123
031_1,s2.767286,s1.404292,s249.346117
031_2,s3.407814,s1.728333,s55.892894
031_3,s3.626055,s1.314587,s326.815632
031_4,s3.598539,s2.123796,s-74.463975
031_5,s4.356949,s1.991953,s154.5367
031_6,s4.62885,s1.445735,s117.275662
031_7,s4.769177,s2.070924,s197.671558
031_8,s5.626585,s3.234415,s10.291227
031_9,s5.1068,s2.258135,s272.009086
031_10,s5.081249,s2.694334,s70.586354
031_11,s5.616389,s1.942448,s206.39899
031_12,s2.891295,s3.21773,s139.63631
031_13,s2.727858,s2.41221,s-44.423425
031_14,s3.533949,s2.716664,s136.98675
031_15,s3.823923,s3.075443,s-272.116568
031_16,s4.178854,s3.152929,s359.365448
031_17,s4.05834,s2.731964,s227.480573
031_18,s5.103526,s3.271931,s71.962152
031_19,s5.312522,s4.365487,s68.100741
031_20,s5.500047,s1.400178,s113.258711
031_21,s5.246696,s3.895648,s116.129349
031_22,s5.643944,s4.280512,s201.37565
031_23,s5.739044,s2.664965,s50.40737
031_24,s2.714566,s3.928469,s25.424741
031_25,s3.794951,s3.843849,s139.789458
031_26,s3.113949,s4.437396,s-154.104705
031_27,s3.202152,s3.627193,s91.553464
031_28,s4.726043,s4.221285,s150.474112
031_29,s4.117593,s3.994521,s330.442425
031_30,s3.608544,s4.348578,s-65.62372
032_0,s2.347543,s1.028199,s14.28027
032_1,s2.523832,s1.847332,s194.44673
032_2,s3.019262,s1.068497,s11.99326
032_3,s3.845363,s1.154282,s114.427579
032_4,s2.955979,s3.051893,s-127.245802
032_5,s3.956999,s1.428665,s304.262903
032_6,s4.906839,s1.810595,s124.89911
032_7,s4.21949,s2.011597,s389.695244
032_8,s4.642088,s2.140467,s-23.893117
032_9,s4.745894,s1.151826,s109.345013
032_10,s5.431996,s1.120708,s55.236689
032_11,s5.2597,s2.178959,s188.754471
032_12,s2.373083,s2.388165,s152.298872
032_13,s2.449446,s3.289841,s-78.757864
032_14,s2.959891,s2.426898,s272.707258
032_15,s4.12554,s3.997929,s113.625826
032_16,s3.288603,s1.730979,s54.067812
032_17,s3.683706,s1.735131,s-10.472337
032_18,s4.285126,s2.578007,s325.429184
032_19,s4.489895,s3.452566,s146.358942
032_20,s4.926957,s3.112653,s297.162046
032_21,s4.900275,s4.1261,s-67.038713
032_22,s5.288482,s3.624522,s338.841647
032_23,s5.297507,s2.605531,s-18.704591
032_24,s2.505315,s2.691939,s38.980737
032_25,s3.198164,s3.768321,s461.221458
032_26,s2.341097,s4.019499,s-195.573891
032_27,s3.344926,s4.128439,s293.865612
032_28,s4.666073,s3.738858,s30.423524
032_29,s2.889958,s4.13041,s66.160759
032_30,s3.843768,s2.799548,s49.794683
032_31,s3.968183,s3.375372,s68.963642
033_0,s2.770665,s1.220914,s24.94847
033_1,s2.752052,s2.100906,s204.246718
033_2,s3.367322,s1.37727,s24.286405
033_3,s3.908066,s1.247278,s113.698185
033_4,s4.447123,s1.151309,s40.391321
033_5,s4.159159,s2.296972,s57.648284
033_6,s4.582297,s1.739075,s80.617433
033_7,s5.356689,s3.847017,s100.844932
033_8,s4.895937,s1.203921,s-3.232253
033_9,s5.284942,s2.020477,s179.512324
033_10,s5.678764,s1.247668,s113.40305
033_11,s5.755633,s1.929339,s203.266941
033_12,s2.754993,s2.853481,s157.980174
033_13,s3.168176,s2.255312,s0.766793
033_14,s3.164754,s3.542999,s322.390176
033_15,s3.717625,s1.855688,s13.988866
033_16,s4.392745,s2.730935,s253.806594
033_17,s3.799187,s3.323559,s-4.72272
033_18,s4.616201,s2.16272,s286.491578
033_19,s5.754597,s2.320555,s55.408191
033_20,s4.944354,s2.99096,s28.292778
033_21,s5.504235,s3.260398,s66.998203
033_22,s5.864916,s2.954895,s102.468477
033_23,s5.704588,s3.830998,s207.966759
033_24,s2.778909,s4.17834,s-69.31321
033_25,s2.921766,s3.16002,s276.044022
033_26,s2.753719,s3.471442,s23.777707
033_27,s3.623877,s4.249634,s293.989955
033_28,s4.114966,s2.929851,s100.229503
033_29,s4.169587,s4.122154,s252.792451
033_30,s5.032999,s4.234089,s73.31515
033_31,s4.288517,s3.675965,s205.884905
033_32,s5.866278,s4.21948,s74.64921
034_0,s2.482391,s0.947971,s21.971973
034_1,s2.507321,s2.560893,s166.72354
034_2,s3.153351,s0.928408,s42.091082
034_3,s2.662318,s1.663438,s310.496282
034_4,s3.815182,s1.746364,s42.689252
034_5,s3.242263,s1.383698,s-2.421831
034_6,s4.73913,s1.023016,s111.60228
034_7,s4.126337,s1.493655,s166.787585
034_8,s5.208228,s1.581197,s163.818763
034_9,s5.485844,s1.964109,s203.863685
034_10,s4.423406,s2.043037,s71.571391
034_11,s5.607747,s1.046064,s115.743821
034_12,s2.486681,s3.367123,s155.720795
034_13,s2.781169,s2.763135,s-14.194942
034_14,s3.251475,s3.627903,s165.892548
034_15,s4.016831,s3.011255,s-149.137536
034_16,s3.100219,s2.446947,s130.526545
034_17,s3.575215,s0.904206,s-13.569119
034_18,s3.571475,s2.582103,s255.364495
034_19,s4.674794,s2.723344,s183.726083
034_20,s4.546616,s1.389958,s327.50956
034_21,s4.955897,s2.901647,s-62.58391
034_22,s5.031317,s2.259444,s278.73685
034_23,s5.494319,s2.628414,s-24.269762
034_24,s2.930478,s4.037628,s-66.690903
034_25,s3.851673,s3.478453,s37.392327
034_26,s2.643359,s3.663484,s29.741035
034_27,s4.211662,s4.007831,s82.637838
034_28,s5.086349,s4.007404,s-65.883368
034_29,s4.673184,s3.082592,s49.05346
034_30,s3.658019,s3.18819,s137.798954
034_31,s5.101205,s3.504924,s80.976693
034_32,s4.810073,s4.043974,s122.977316
034_33,s5.473851,s3.50746,s-25.692055
035_0,s2.736409,s1.472629,s23.475547
035_1,s2.7737,s2.49617,s186.810361
035_2,s3.192276,s1.761824,s-48.934756
035_3,s3.503505,s2.532253,s130.673469
035_4,s3.310529,s2.913607,s-64.606427
035_5,s3.861337,s1.582885,s113.803645
035_6,s4.413992,s1.52274,s47.704461
035_7,s4.726112,s1.631446,s290.700748
035_8,s5.020962,s2.151819,s47.231828
035_9,s5.616265,s1.601394,s113.02586
035_10,s5.387822,s2.268769,s-83.951109
035_11,s5.88811,s1.991988,s204.023785
035_12,s3.130508,s3.603387,s117.068671
035_13,s3.454214,s3.799957,s10.57437
035_14,s2.658889,s3.057098,s226.978455
035_15,s4.673214,s3.729929,s-177.888225
035_16,s3.891508,s2.313674,s335.711972
035_17,s5.084905,s3.513864,s-85.065544
035_18,s4.423021,s2.021071,s7.838423
035_19,s4.081326,s3.837762,s-49.796026
035_20,s4.992456,s3.048273,s208.69097
035_21,s6.005555,s2.702331,s55.711715
035_22,s6.004603,s3.943421,s103.60016
035_23,s6.006255,s3.308152,s93.234105
035_24,s3.012937,s3.985308,s43.105319
035_25,s2.697233,s4.810649,s223.00975
035_26,s3.71798,s4.731785,s68.471665
035_27,s3.964821,s3.554816,s114.691761
035_28,s3.699248,s4.303944,s-88.337658
035_29,s4.218536,s3.310704,s220.864997
035_30,s4.171508,s4.714388,s-64.517683
035_31,s5.440924,s4.104443,s404.888073
035_32,s4.838041,s3.955085,s1.954916
